movie,year,indications,win
David Copperfield,1936.0,3,0
Dr. Seuss' How the Grinch Stole Christmas,2001.0,3,1
First Love,1940.0,3,0
The Master,2013.0,3,0
Father of the Bride,1951.0,3,0
Five Graves to Cairo,1944.0,3,0
The Great Caruso,1952.0,3,1
Imitation of Life,1935.0,3,0
Disraeli,1931.0,3,1
Grand Prix,1967.0,3,3
The Naked City,1949.0,3,2
I Am a Fugitive from a Chain Gang,1934.0,3,0
The Third Man,1951.0,3,1
Girl with a Pearl Earring,2004.0,3,0
The Hobbit: An Unexpected Journey,2013.0,3,0
The Paper Chase,1974.0,3,1
Dr. Jekyll and Mr. Hyde,1942.0,3,0
I Never Sang for My Father,1971.0,3,0
The Westerner,1941.0,3,1
El Cid,1962.0,3,0
The Princess and the Frog,2010.0,3,0
The Great Victor Herbert,1940.0,3,0
The Great Waltz,1939.0,3,1
The Invaders,1943.0,3,1
Irma La Douce,1964.0,3,1
Iris,2002.0,3,1
Divorce--Italian Style,1963.0,3,1
The Player,1993.0,3,0
Into the Woods,2015.0,3,0
Daddy Long Legs,1956.0,3,0
Harry Potter and the Sorcerer's Stone,2002.0,3,0
Educating Rita,1984.0,3,0
Father Goose,1965.0,3,1
The Last Detail,1974.0,3,0
Jolson Sings Again,1950.0,3,0
Harry Potter and the Deathly Hallows Part 2,2012.0,3,0
Butterflies Are Free,1973.0,3,1
Speed,1995.0,3,2
Alice Doesn't Live Here Anymore,1975.0,3,1
Transformers,2008.0,3,0
Red,1995.0,3,0
The Charge of the Light Brigade,1937.0,3,1
Body and Soul,1948.0,3,1
Rebel without a Cause,1956.0,3,0
Mister Roberts,1956.0,3,1
Reap the Wild Wind,1943.0,3,1
Absence of Malice,1982.0,3,0
Blue Jasmine,2014.0,3,1
The Buddy Holly Story,1979.0,3,1
Stalag 17,1954.0,3,1
The Broadway Melody,1930.0,3,1
Wild Is the Wind,1958.0,3,0
Mother Wore Tights,1948.0,3,1
Blazing Saddles,1975.0,3,0
Star Trek - The Motion Picture,1980.0,3,0
The Brave One,1957.0,3,1
Quills,2001.0,3,0
Tucker The Man and His Dream,1989.0,3,0
The Boys from Brazil,1979.0,3,0
The Bourne Ultimatum,2008.0,3,3
Agnes of God,1986.0,3,0
Star Wars Episode I: The Phantom Menace,2000.0,3,0
Boogie Nights,1998.0,3,0
Spider-Man 2,2005.0,3,1
Transformers: Dark of the Moon,2012.0,3,0
Brigadoon,1955.0,3,0
Song of the Open Road,1945.0,3,0
A River Runs through It,1993.0,3,1
The Cowboy and the Lady,1939.0,3,1
Souls at Sea,1938.0,3,0
Marooned,1970.0,3,1
Brooklyn,2016.0,3,0
South Pacific,1959.0,3,1
Broken Arrow,1951.0,3,0
A Soldier's Story,1985.0,3,0
The Conversation,1975.0,3,0
Brief Encounter,1947.0,3,0
The Chocolate Soldier,1942.0,3,0
Revolutionary Road,2009.0,3,0
Reversal of Fortune,1991.0,3,1
Melvin and Howard,1981.0,3,2
Total Recall,1991.0,3,1
Men in Black,1998.0,3,1
The Collector,1966.0,3,0
Brazil,1945.0,3,0
Toy Story,1996.0,3,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2006.0,3,1
"Take a Letter, Darling",1943.0,3,0
Albert Nobbs,2012.0,3,0
The Black Swan,1943.0,3,1
The Dark Angel,1936.0,3,1
Alice in Wonderland,2011.0,3,2
Bambi,1943.0,3,0
The Adventures of Mark Twain,1945.0,3,0
Suspicion,1942.0,3,1
"Objective, Burma!",1946.0,3,0
Bad Girl,1933.0,3,2
Bad Day at Black Rock,1956.0,3,0
Backdraft,1992.0,3,0
The Absent Minded Professor,1962.0,3,0
Voyage of the Damned,1977.0,3,0
That Touch of Mink,1963.0,3,0
Angels with Dirty Faces,1939.0,3,0
Pennies from Heaven,1982.0,3,0
Awakenings,1991.0,3,0
Test Pilot,1939.0,3,0
Peggy Sue Got Married,1987.0,3,0
Sweeney Todd The Demon Barber of Fleet Street,2008.0,3,1
Sweet Bird of Youth,1963.0,3,1
Sweet Charity,1970.0,3,0
Only When I Laugh,1982.0,3,0
War and Peace,1957.0,3,0
War of the Worlds,2006.0,3,0
WarGames,1984.0,3,0
Army Girl,1939.0,3,0
"Now, Voyager",1943.0,3,1
An Unmarried Woman,1979.0,3,0
An Education,2010.0,3,0
Suez,1939.0,3,0
The Black Stallion,1980.0,3,1
Billy Elliot,2001.0,3,0
The Big Fisherman,1960.0,3,0
Private Benjamin,1981.0,3,0
The Big Chill,1984.0,3,0
My Favorite Wife,1941.0,3,0
Strike Up the Band,1941.0,3,1
Unbroken,2015.0,3,0
"All This, and Heaven Too",1941.0,3,0
"Suddenly, Last Summer",1960.0,3,0
Poltergeist,1983.0,3,0
Barton Fink,1992.0,3,0
Pocketful of Miracles,1962.0,3,0
Pleasantville,1999.0,3,0
The Band Wagon,1954.0,3,0
Being John Malkovich,2000.0,3,0
Sun Valley Serenade,1942.0,3,0
Pinky,1950.0,3,0
Sundown,1942.0,3,0
Vera Drake,2005.0,3,0
North by Northwest,1960.0,3,0
Batman Forever,1996.0,3,0
Tom Sawyer,1974.0,3,0
Apocalypto,2007.0,3,0
The Front Page,1932.0,3,0
Cinderella,1951.0,3,0
Three Coins in the Fountain,1955.0,3,2
Little Children,2007.0,3,0
Little Women,1934.0,3,1
Save the Tiger,1974.0,3,1
Little Women,1995.0,3,0
Lady in the Dark,1945.0,3,0
Sicario,2016.0,3,0
Three Smart Girls,1937.0,3,0
Casanova Brown,1945.0,3,0
A Fish Called Wanda,1989.0,3,1
Logan's Run,1977.0,3,1
Cliffhanger,1994.0,3,0
"20,000 Leagues under the Sea",1955.0,3,2
A Free Soul,1932.0,3,1
La Vie en Rose,2008.0,3,2
1941,1980.0,3,0
Written on the Wind,1957.0,3,1
Young Winston,1973.0,3,0
Sleepy Hollow,2000.0,3,1
Career,1960.0,3,0
Cinderella Man,2006.0,3,0
There's No Business Like Show Business,1955.0,3,0
Children of Men,2007.0,3,0
Les Girls,1958.0,3,1
The Young in Heart,1939.0,3,0
A Certain Smile,1959.0,3,0
You Were Never Lovelier,1943.0,3,0
This Is the Army,1944.0,3,1
The Young Victoria,2010.0,3,1
A Chorus Line,1986.0,3,0
The Young Philadelphians,1960.0,3,0
Lifeboat,1945.0,3,0
Man of Conquest,1940.0,3,0
The Young Lions,1959.0,3,0
Chaplin,1993.0,3,0
Cinderella Liberty,1974.0,3,0
Thousands Cheer,1944.0,3,0
Changeling,2009.0,3,0
Carefree,1939.0,3,0
Legends of the Fall,1995.0,3,1
Somebody Up There Likes Me,1957.0,3,2
California Suite,1979.0,3,1
Shanghai Express,1933.0,3,1
Magnolia,2000.0,3,0
A Letter to Three Wives,1950.0,3,2
Runaway Train,1986.0,3,0
Sahara,1944.0,3,0
To Catch a Thief,1956.0,3,1
Tinker Tailor Soldier Spy,2012.0,3,0
The General Died at Dawn,1937.0,3,0
La Cage aux Folles,1980.0,3,0
"Come Back, Little Sheba",1953.0,3,1
12 Angry Men,1958.0,3,0
Lovers and Other Strangers,1971.0,3,1
Woodstock,1971.0,3,1
The Divine Lady,1930.0,3,1
Calamity Jane,1954.0,3,1
Saludos Amigos,1944.0,3,0
The Glenn Miller Story,1955.0,3,1
Wonder Boys,2001.0,3,1
"Captain Newman, M.D.",1964.0,3,0
RoboCop,1988.0,3,1
Caged,1951.0,3,0
Swing Time,1937.0,2,1
Pinocchio,1941.0,2,2
Pirates of the Caribbean: At World's End,2008.0,2,0
Passion Fish,1993.0,2,0
Passengers,2017.0,2,0
Shaft,1972.0,2,1
The Magnificent Seven,1957.0,2,0
Parenthood,1990.0,2,0
Show Boat,1952.0,2,0
The Magnificent Yankee,1951.0,2,0
Sundays and Cybele,1964.0,2,0
Shirley Valentine,1990.0,2,0
Planet of the Apes,1969.0,2,0
Syriana,2006.0,2,1
Here Comes the Groom,1952.0,2,1
Silver Queen,1943.0,2,0
Holiday,1932.0,2,0
"Summer Wishes, Winter Dreams",1974.0,2,0
Pocahontas,1996.0,2,2
Summertime,1956.0,2,0
Sweethearts,1939.0,2,0
Selma,2015.0,2,1
The People vs. Larry Flynt,1997.0,2,0
Pelle the Conqueror,1989.0,2,1
Shrek 2,2005.0,2,0
Svengali,1932.0,2,0
Shadowlands,1994.0,2,0
Shadow of the Vampire,2001.0,2,0
Shrek,2002.0,2,1
Hilary and Jackie,1999.0,2,0
Pollock,2001.0,2,1
Ghostbusters,1985.0,2,0
Hit Parade of 1941,1941.0,2,0
Susan Slept Here,1955.0,2,0
The Magic Machines,1970.0,2,1
Pete 'n' Tillie,1973.0,2,0
Ghosts of Mississippi,1997.0,2,0
Hit Parade of 1943,1944.0,2,0
Seven Days in May,1965.0,2,0
Pete's Dragon,1978.0,2,0
Serpico,1974.0,2,0
Sentinels of Silence,1972.0,2,2
Sweet and Lowdown,2000.0,2,0
Higher and Higher,1945.0,2,0
Hoffa,1993.0,2,0
Robin and the 7 Hoods,1965.0,2,0
Sleepless in Seattle,1994.0,2,0
Silverado,1986.0,2,0
Guardians of the Galaxy,2015.0,2,0
Hamlet,1991.0,2,0
San Antonio,1946.0,2,0
Salvador,1987.0,2,0
The Official Story,1986.0,2,1
Splendor in the Grass,1962.0,2,1
Red River,1949.0,2,0
Spider-Man,2003.0,2,0
Gold Diggers of 1935,1936.0,2,1
The Odd Couple,1969.0,2,0
Snow White and the Huntsman,2013.0,2,0
Gunfight at the O.K. Corral,1958.0,2,0
Gulliver's Travels,1940.0,2,0
Restoration,1996.0,2,2
Resurrection,1981.0,2,0
Sabrina,1996.0,2,0
Rambling Rose,1992.0,2,0
Running on Empty,1989.0,2,0
"Reuben, Reuben",1984.0,2,0
Rosemary's Baby,1969.0,2,1
The Motorcycle Diaries,2005.0,2,1
Rhapsody in Blue,1946.0,2,0
Richard III,1996.0,2,0
The Muppet Movie,1980.0,2,0
Romance on the High Seas,1949.0,2,0
"Goodbye, Mr. Chips",1970.0,2,0
Something to Shout About,1944.0,2,0
Road to Morocco,1943.0,2,0
Rogue One: A Star Wars Story,2017.0,2,0
Song of the South,1948.0,2,1
Sometimes a Great Notion,1972.0,2,0
Stage Door Canteen,1944.0,2,0
Hangmen Also Die,1944.0,2,0
The Parent Trap,1962.0,2,0
State Fair,1934.0,2,0
Singin' in the Rain,1953.0,2,0
"Hello, Frisco, Hello",1944.0,2,1
Portrait of Jennie,1949.0,2,1
Postcards from the Edge,1991.0,2,0
Primary Colors,1999.0,2,0
Prince of Foxes,1950.0,2,0
Second Chorus,1941.0,2,0
The Manchurian Candidate,1963.0,2,0
Steve Jobs,2016.0,2,0
The Mask of Zorro,1999.0,2,0
Scent of a Woman,1976.0,2,0
"Heaven Knows, Mr. Allison",1958.0,2,0
Stella Dallas,1938.0,2,0
State Fair,1946.0,2,1
Starting Over,1980.0,2,0
Smash-Up--The Story of a Woman,1948.0,2,0
Queen Bee,1956.0,2,0
Harvey,1951.0,2,1
Star Trek VI The Undiscovered Country,1992.0,2,0
The Merry Widow,1953.0,2,0
Harry and Tonto,1975.0,2,1
Sling Blade,1997.0,2,1
The Oscar,1967.0,2,0
The Omen,1977.0,2,1
Star Spangled Rhythm,1944.0,2,0
Harry Potter and the Prisoner of Azkaban,2005.0,2,0
The Messenger,2010.0,2,0
Harry Potter and the Deathly Hallows Part 1,2011.0,2,0
Radio Days,1988.0,2,0
The Mirror Has Two Faces,1997.0,2,0
The Gold Rush,1943.0,2,0
Nobody's Fool,1995.0,2,0
Tales of Hoffmann,1952.0,2,0
Louisiana Purchase,1942.0,2,0
The Crucible,1997.0,2,0
Manhattan,1980.0,2,0
The Dark Command,1941.0,2,0
The Dark Wave,1957.0,2,0
Malèna,2001.0,2,0
Malcolm X,1993.0,2,0
The Day of the Dolphin,1974.0,2,0
The Day of the Locust,1976.0,2,0
The Dead,1988.0,2,0
Madame X,1930.0,2,0
The Heartbreak Kid,1973.0,2,0
The Heart Is a Lonely Hunter,1969.0,2,0
The Devil Wears Prada,2007.0,2,0
Jonathan Livingston Seagull,1974.0,2,0
The Devil and Miss Jones,1942.0,2,0
The Harvey Girls,1947.0,2,1
Journey into Spring,1959.0,2,0
The Happy Ending,1970.0,2,0
The Discreet Charm of the Bourgeoisie,1973.0,2,1
Jet Carrier,1955.0,2,0
The Crowd,1929.0,2,0
The Hospital,1972.0,2,1
Michael Collins,1997.0,2,0
Ironweed,1988.0,2,0
Minstrel Man,1945.0,2,0
Is Paris Burning?,1967.0,2,0
The Incredible Sarah,1977.0,2,0
The Chorus (Les Choristes),2005.0,2,0
It Happened Tomorrow,1945.0,2,0
Mighty Aphrodite,1996.0,2,1
The Imaginarium of Doctor Parnassus,2010.0,2,0
It's Always Fair Weather,1956.0,2,0
The Cotton Club,1985.0,2,0
Memento,2002.0,2,0
The Competition,1981.0,2,0
Maytime,1938.0,2,0
The Contender,2001.0,2,0
The Hunchback of Notre Dame,1940.0,2,0
The Corn Is Green,1946.0,2,0
Martin Luther,1954.0,2,0
The Howards of Virginia,1941.0,2,0
Juarez,1940.0,2,0
The Guardsman,1933.0,2,0
Mister Buddwing,1967.0,2,0
Lorenzo's Oil,1993.0,2,0
Last Tango in Paris,1974.0,2,0
The Flight of the Phoenix,1966.0,2,0
The Grandmaster,2014.0,2,0
Ladyhawke,1986.0,2,0
"Lady, Let's Dance",1945.0,2,0
The Frogmen,1952.0,2,0
King Rat,1966.0,2,0
Ladies in Retirement,1942.0,2,0
The Gorgeous Hussy,1937.0,2,0
La Traviata,1983.0,2,0
La Strada,1957.0,2,1
La Ronde,1952.0,2,0
The Garden of Allah,1937.0,2,0
The Garden of the Finzi Continis,1972.0,2,1
Kiss of Death,1948.0,2,0
Kubo and the Two Strings,2017.0,2,0
The Goldwyn Follies,1939.0,2,0
The Golden Compass,2008.0,2,1
Klute,1972.0,2,1
The Flame and the Arrow,1951.0,2,0
The Firm,1994.0,2,0
The Great Gatsby,1975.0,2,2
Little Shop of Horrors,1987.0,2,0
Looking for Mr. Goodbar,1978.0,2,0
Juliet of the Spirits,1967.0,2,0
Julie,1957.0,2,0
Lone Survivor,2014.0,2,0
The Duchess,2009.0,2,1
Lloyds of London,1937.0,2,0
Little Women,1950.0,2,1
The Green Years,1947.0,2,0
Little Dorrit,1989.0,2,0
The Great Gatsby,2014.0,2,2
The Emperor Waltz,1949.0,2,0
The End of the Affair,2000.0,2,0
Kagemusha (The Shadow Warrior),1981.0,2,0
The Great White Hope,1971.0,2,0
The Face of Lincoln,1956.0,2,1
The Fallen Idol,1950.0,2,0
The Farmer's Daughter,1948.0,2,1
The Great Santini,1981.0,2,0
Iron Man,2009.0,2,0
Moana,2017.0,2,0
Talk to Her,2003.0,2,1
Naughty Marietta,1936.0,2,1
Husbands and Wives,1993.0,2,0
Hustle & Flow,2006.0,2,1
Notorious,1947.0,2,0
The Lavender Hill Mob,1953.0,2,1
The Last Station,2010.0,2,0
North Country,2006.0,2,0
The Americanization of Emily,1965.0,2,0
Knights of the Round Table,1954.0,2,0
The Andromeda Strain,1972.0,2,0
The Assassination of Jesse James by the Coward Robert Ford,2008.0,2,0
Night Must Fall,1938.0,2,0
Ice Station Zebra,1969.0,2,0
The Last Command,1929.0,2,1
Ida,2015.0,2,1
The Last Angry Man,1960.0,2,0
The Barbarian Invasions,2004.0,2,1
The Barefoot Contessa,1955.0,2,1
Neighbours,1953.0,2,1
Imitation of Life,1960.0,2,0
"O Brother, Where Art Thou?",2001.0,2,0
The Adventures of Don Juan,1950.0,2,1
That Obscure Object of Desire,1978.0,2,0
Teacher's Pet,1959.0,2,0
Out of Sight,1999.0,2,0
The Lone Ranger,2014.0,2,0
Home Alone,1991.0,2,0
Hondo,1954.0,2,0
Our Dancing Daughters,1930.0,2,0
Hoosiers,1987.0,2,0
Orlando,1994.0,2,0
Tchaikovsky,1972.0,2,0
Only Angels Have Wings,1940.0,2,0
On the Beach,1960.0,2,0
Houseboat,1959.0,2,0
Teenage Rebel,1957.0,2,0
The Little Prince,1975.0,2,0
One of Our Aircraft Is Missing,1943.0,2,0
One Million B.C.,1941.0,2,0
That Certain Age,1939.0,2,0
How to Train Your Dragon,2011.0,2,0
On the Riviera,1952.0,2,0
Navajo,1953.0,2,0
The Barretts of Wimpole Street,1935.0,2,0
Mogambo,1954.0,2,0
The Battle of Algiers,1969.0,2,0
Mrs. Brown,1998.0,2,0
Mr. Skeffington,1945.0,2,0
The Bostonians,1985.0,2,0
Indochine,1993.0,2,1
Inherent Vice,2015.0,2,0
The Boys from Syracuse,1941.0,2,0
Inside Llewyn Davis,2014.0,2,0
Inside Out,2016.0,2,1
Mourning Becomes Electra,1948.0,2,0
Intermezzo,1940.0,2,0
The Bridges at Toko-Ri,1956.0,2,1
Interview with the Vampire,1995.0,2,0
Morituri,1966.0,2,0
Morgan!,1967.0,2,0
Into the Wild,2008.0,2,0
Monster's Ball,2002.0,2,1
Invictus,2010.0,2,0
The Iron Lady,2012.0,2,2
The Candidate,1973.0,2,1
Indiana Jones and the Temple of Doom,1985.0,2,1
Mrs. Henderson Presents,2006.0,2,0
Independence Day,1997.0,2,1
The Big Country,1959.0,2,1
The Battle of Gettysburg,1956.0,2,0
My Week with Marilyn,2012.0,2,0
In Old Oklahoma,1944.0,2,0
The Best of Everything,1960.0,2,0
In Which We Serve,1944.0,2,0
My Life as a Dog,1988.0,2,0
My Gal Sal,1943.0,2,1
My Foolish Heart,1950.0,2,0
The Big Sky,1953.0,2,0
Mrs. Parkington,1945.0,2,0
Music of the Heart,2000.0,2,0
The Black Hole,1980.0,2,0
Murphy's Romance,1986.0,2,0
The Blind Side,2010.0,2,1
The Blue Bird,1941.0,2,0
The Blue Veil,1952.0,2,0
The Bodyguard,1993.0,2,0
The Bold and the Brave,1957.0,2,0
The Perfect Storm,2001.0,2,0
Sherlock Holmes,2010.0,2,0
What Dreams May Come,1999.0,2,1
Eternal Sunshine of the Spotless Mind,2005.0,2,1
Desiree,1955.0,2,0
The Sweet Hereafter,1998.0,2,0
What's Love Got to Do with It,1994.0,2,0
Captains of the Clouds,1943.0,2,0
Clear and Present Danger,1995.0,2,0
Two for the Seesaw,1963.0,2,0
The Taming of the Shrew,1968.0,2,0
A Special Day,1978.0,2,0
Winterset,1937.0,2,0
What a Way to Go!,1965.0,2,0
Fantastic Beasts and Where to Find Them,2017.0,2,1
Cape Fear,1992.0,2,0
Fantastic Mr. Fox,2010.0,2,0
A Simple Plan,1999.0,2,0
The Witches of Eastwick,1988.0,2,0
Face to Face,1977.0,2,0
A Tale of Two Cities,1937.0,2,0
Carmen Jones,1955.0,2,0
The World According to Garp,1983.0,2,0
The Sea Inside,2005.0,2,1
Carrie,1977.0,2,0
Devil Take Us,1953.0,2,0
A Very Long Engagement,2005.0,2,0
A Tree Grows in Brooklyn,1946.0,2,1
Destination Moon,1951.0,2,1
Wings,1929.0,2,2
A Thousand and One Nights,1946.0,2,0
Ex Machina,2016.0,2,1
The Savages,2008.0,2,0
Carrie,1953.0,2,0
Despicable Me 2,2014.0,2,0
U-571,2001.0,2,1
Extremely Loud & Incredibly Close,2012.0,2,0
Closer,2005.0,2,0
Farewell My Concubine,1994.0,2,0
Can-Can,1961.0,2,0
The Wind and the Lion,1976.0,2,0
Bye Bye Birdie,1964.0,2,0
Babes in Arms,1940.0,2,0
Woman of the Year,1943.0,2,1
Decision before Dawn,1952.0,2,0
To Each His Own,1947.0,2,1
A New Kind of Love,1964.0,2,0
Butterfield 8,1961.0,2,1
Twilight of Honor,1964.0,2,0
A Medal for Benny,1946.0,2,0
A Man Called Ove,2017.0,2,0
Wag the Dog,1998.0,2,0
Finian's Rainbow,1969.0,2,0
Bite the Bullet,1976.0,2,0
Waikiki Wedding,1938.0,2,1
The Reivers,1970.0,2,0
Babes in Toyland,1962.0,2,0
Can't Help Singing,1946.0,2,0
Fellini's Casanova,1977.0,2,1
An Inconvenient Truth,2007.0,2,2
A Serious Man,2010.0,2,0
A Separation,2012.0,2,1
Big,1989.0,2,0
Camille Claudel,1990.0,2,0
Titanic,1954.0,2,1
Cocoon,1986.0,2,2
The Spy Who Came In from the Cold,1966.0,2,0
Collateral,2005.0,2,0
Call Me Madam,1954.0,2,1
Twister,1997.0,2,0
Deepwater Horizon,2017.0,2,0
Anastasia,1957.0,2,1
Anastasia,1998.0,2,0
Cars,2007.0,2,0
American Gangster,2008.0,2,0
Biutiful,2011.0,2,0
The Subject Was Roses,1969.0,2,1
The Slipper and the Rose--The Story of Cinderella,1978.0,2,0
Up in Arms,1945.0,2,0
The Slender Thread,1966.0,2,0
The Sky's the Limit,1944.0,2,0
The Sterile Cuckoo,1970.0,2,0
White Nights,1986.0,2,1
Easy Rider,1970.0,2,0
Cimarron,1961.0,2,0
Ed Wood,1995.0,2,2
The Silver Chalice,1955.0,2,0
Airport '77,1978.0,2,0
Air Force One,1998.0,2,0
This Sporting Life,1964.0,2,0
White Wilderness,1959.0,2,1
All-American Co-Ed,1942.0,2,0
Alibi,1930.0,2,0
Alice Adams,1936.0,2,0
Thirty Seconds over Tokyo,1945.0,2,1
The Solid Gold Cadillac,1957.0,2,1
Alien,1980.0,2,1
They Were Expendable,1946.0,2,0
Beau Geste,1940.0,2,0
Dragon Seed,1945.0,2,0
Dragonslayer,1982.0,2,0
Drums along the Mohawk,1940.0,2,0
Duel in the Sun,1947.0,2,0
All That Money Can Buy,1942.0,2,1
Vertigo,1959.0,2,0
Theodora Goes Wild,1937.0,2,0
Dumbo,1942.0,2,1
Batman Returns,1993.0,2,0
The Snows of Kilimanjaro,1953.0,2,0
Basic Instinct,1993.0,2,0
When Worlds Collide,1952.0,2,1
Aloma of the South Seas,1942.0,2,0
Being There,1980.0,2,1
Voice in the Wind,1945.0,2,0
Wild,2015.0,2,0
Above and Beyond,1954.0,2,0
Vivacious Lady,1939.0,2,0
The Seven-per-cent Solution,1977.0,2,0
Cast Away,2001.0,2,0
About Schmidt,2003.0,2,0
Amarcord,1976.0,2,0
Emma,1997.0,2,1
Abe Lincoln in Illinois,1941.0,2,0
The Wrestler,2009.0,2,0
A.I. Artificial Intelligence,2002.0,2,0
Willow,1989.0,2,0
The Secret of Santa Vittoria,1970.0,2,0
A Woman under the Influence,1975.0,2,0
Catch Me If You Can,2003.0,2,0
Dive Bomber,1942.0,2,0
"Bell, Book and Candle",1959.0,2,0
Central Station,1999.0,2,0
United 93,2007.0,2,0
Belle of the Yukon,1946.0,2,0
The Shoes of the Fisherman,1969.0,2,0
Affliction,1999.0,2,1
Why Girls Leave Home,1946.0,2,0
Do the Right Thing,1990.0,2,0
Address Unknown,1945.0,2,0
The Shanghai Gesture,1943.0,2,0
Centennial Summer,1947.0,2,0
Under the Volcano,1985.0,2,0
Altered States,1981.0,2,0
Elizabeth: The Golden Age,2008.0,2,1
When My Baby Smiles at Me,1949.0,2,0
Under Siege,1993.0,2,0
Bitter Sweet,1941.0,2,0
A Place to Stand,1968.0,2,1
Ali,2002.0,2,0
The Triplets of Belleville,2004.0,2,0
The Trip to Bountiful,1986.0,2,1
A Little Romance,1980.0,2,1
The Princess and the Pirate,1945.0,2,0
Conquest,1938.0,2,0
You'll Never Get Rich,1942.0,2,0
The Prisoner of Zenda,1938.0,2,0
Frozen,2014.0,2,2
David and Lisa,1963.0,2,0
21 Grams,2004.0,2,0
Blood and Sand,1942.0,2,1
Bright Victory,1952.0,2,0
Wanted,2009.0,2,0
Broadway Danny Rose,1985.0,2,0
Broadway Melody of 1936,1936.0,2,0
The Private Life of Henry VIII,1934.0,2,1
The Virgin Spring,1961.0,2,1
Broken Lance,1955.0,2,1
Blockade,1939.0,2,0
Training Day,2002.0,2,1
Topper,1938.0,2,0
Born to Dance,1937.0,2,0
August: Osage County,2014.0,2,0
The Producers,1969.0,2,1
A Civil Action,1999.0,2,0
You Can Count on Me,2001.0,2,0
Born Free,1967.0,2,2
A Damsel in Distress,1938.0,2,1
Zelig,1984.0,2,0
The Well,1952.0,2,0
Transamerica,2006.0,2,0
The Prince of Egypt,1999.0,2,1
42nd Street,1934.0,2,0
Fried Green Tomatoes,1992.0,2,0
55 Days at Peking,1964.0,2,0
Freud,1963.0,2,0
The Portrait of a Lady,1997.0,2,0
Arizona,1941.0,2,0
Boyz N the Hood,1992.0,2,0
The Usual Suspects,1996.0,2,2
Brazil,1986.0,2,0
Toys,1993.0,2,0
"Au Revoir Les Enfants (Goodbye, Children)",1988.0,2,0
Tron,1983.0,2,0
Boys Don't Cry,2000.0,2,1
Frozen River,2009.0,2,0
Young Frankenstein,1975.0,2,0
The President's Lady,1954.0,2,0
The Prestige,2007.0,2,0
Blue Skies,1947.0,2,0
Walter Wanger's Vogues of 1938,1938.0,2,0
Young Bess,1954.0,2,0
Breaking the Sound Barrier,1953.0,2,1
Frances,1983.0,2,0
Blow-Up,1967.0,2,0
3:10 to Yuma,2008.0,2,0
Bridesmaids,2012.0,2,0
Four Weddings and a Funeral,1995.0,2,0
The Prime of Miss Jean Brodie,1970.0,2,1
The Proud and Profane,1957.0,2,0
Topper Returns,1942.0,2,0
Waterloo Bridge,1941.0,2,0
Flirtation Walk,1935.0,2,0
True Grit,1970.0,2,1
Coming to America,1989.0,2,0
Anna and the King,2000.0,2,0
Away from Her,2008.0,2,0
A Hard Day's Night,1965.0,2,0
Genevieve,1955.0,2,0
Cromwell,1971.0,2,1
Tommy,1976.0,2,0
Black Rain,1990.0,2,0
Bulldog Drummond,1931.0,2,0
Anna Christie,1931.0,2,0
The Rainmaker,1957.0,2,0
Flame of Barbary Coast,1946.0,2,0
Flags of Our Fathers,2007.0,2,0
The Wild Bunch,1970.0,2,0
Come and Get It,1937.0,2,1
A History of Violence,2006.0,2,0
Five Fingers,1953.0,2,0
Black Narcissus,1948.0,2,2
Bullitt,1969.0,2,1
Tom & Viv,1995.0,2,0
The Three Caballeros,1946.0,2,0
Bon Voyage!,1963.0,2,0
'Round Midnight,1987.0,2,1
A Little Night Music,1978.0,2,1
The Thomas Crown Affair,1969.0,2,1
A Little Princess,1996.0,2,0
Flight,2013.0,2,0
The Unbearable Lightness of Being,1989.0,2,0
War and Peace,1969.0,2,1
The White Ribbon,2010.0,2,0
Buck Privates,1942.0,2,0
Autumn Sonata,1979.0,2,0
12 Monkeys,1996.0,2,0
10,1980.0,2,0
Con Air,1998.0,2,0
The Valley of Decision,1946.0,2,0
Footloose,1985.0,2,0
...And Justice for All,1980.0,2,0
A Foreign Affair,1949.0,2,0
The White Parade,1935.0,2,0
Tonight and Every Night,1946.0,2,0
Boom Town,1941.0,2,0
Florence Foster Jenkins,2017.0,2,0
Flying with Music,1943.0,2,0
Annie,1983.0,2,0
Blade Runner,1983.0,2,0
Task Force,1944.0,1,0
"Teddy, the Rough Rider",1941.0,1,1
Teenage Father,1979.0,1,1
"Very Nice, Very Nice",1962.0,1,0
Vesuvius Express,1954.0,1,0
War Photographer,2002.0,1,0
Tea for Two Hundred,1949.0,1,0
The Alaskan Eskimo,1954.0,1,1
The Amityville Horror,1980.0,1,0
Ted,2013.0,1,0
Victory through Air Power,1944.0,1,0
War Clouds in the Pacific,1942.0,1,0
Varsity Show,1938.0,1,0
Virunga,2015.0,1,0
The Amazing Mrs. Holliday,1944.0,1,0
Taxi to the Dark Side,2008.0,1,1
"Wanted, a Master",1937.0,1,0
The Affairs of Susan,1946.0,1,0
Velvet Goldmine,1999.0,1,0
Violet,1982.0,1,1
Venus,2007.0,1,0
Victor,1999.0,1,0
War Department Report,1944.0,1,0
Vatel,2001.0,1,0
Vicky Cristina Barcelona,2009.0,1,1
Technological Threat,1989.0,1,0
The American President,1996.0,1,0
Wait until Dark,1968.0,1,0
The Affair of the Necklace,2002.0,1,0
That's Life,1987.0,1,0
Walking,1970.0,1,0
Walk on the Wild Side,1963.0,1,0
